Area name,Mother tongue name,Persons
JAMMU & KASHMIR,ASSAMESE,8340
JAMMU & KASHMIR,BENGALI,19830
JAMMU & KASHMIR,BODO,508
JAMMU & KASHMIR,DOGRI,2513712
JAMMU & KASHMIR,GUJARATI,19261
JAMMU & KASHMIR,HINDI,2612631
JAMMU & KASHMIR,KANNADA,6953
JAMMU & KASHMIR,KASHMIRI,6680837
JAMMU & KASHMIR,KONKANI,79
JAMMU & KASHMIR,MAITHILI,897
JAMMU & KASHMIR,MALAYALAM,11248
JAMMU & KASHMIR,MANIPURI,2370
JAMMU & KASHMIR,MARATHI,23006
JAMMU & KASHMIR,NEPALI,22138
JAMMU & KASHMIR,ODIA,9553
JAMMU & KASHMIR,PUNJABI,219193
JAMMU & KASHMIR,SANSKRIT,30
JAMMU & KASHMIR,SANTALI,225
JAMMU & KASHMIR,SINDHI,19
JAMMU & KASHMIR,TAMIL,14728
JAMMU & KASHMIR,TELUGU,13970
JAMMU & KASHMIR,URDU,19956
JAMMU & KASHMIR,ADI,16
JAMMU & KASHMIR,AFGHANI/KABULI/PASHTO,17942
JAMMU & KASHMIR,ANAL,17
JAMMU & KASHMIR,AO,23
JAMMU & KASHMIR,ARABIC/ARBI,181
JAMMU & KASHMIR,BALTI,12399
JAMMU & KASHMIR,BHILI/BHILODI,988
JAMMU & KASHMIR,BHOTIA,107451
JAMMU & KASHMIR,BHUMIJ,1
JAMMU & KASHMIR,BISHNUPURIYA,17
JAMMU & KASHMIR,CHAKHESANG,1
JAMMU & KASHMIR,CHANG,1
JAMMU & KASHMIR,COORGI/KODAGU,10
JAMMU & KASHMIR,DEORI,1
JAMMU & KASHMIR,DIMASA,4
JAMMU & KASHMIR,ENGLISH,967
JAMMU & KASHMIR,GANGTE,24
JAMMU & KASHMIR,GARO,46
JAMMU & KASHMIR,GONDI,167
JAMMU & KASHMIR,HALAM,8
JAMMU & KASHMIR,HMAR,24
JAMMU & KASHMIR,HO,28
JAMMU & KASHMIR,KABUI,12
JAMMU & KASHMIR,KARBI/MIKIR,6
JAMMU & KASHMIR,KHANDESHI,34862
JAMMU & KASHMIR,KHARIA,14
JAMMU & KASHMIR,KHASI,1350
