Mother tongue,Second language,mPersons,sPersons,Third language,tPersons
ASSAMESE,BENGALI,15311351.0,2025303.0,BODO ,883.0
ASSAMESE,BENGALI,15311351.0,2025303.0,GUJARATI,11.0
ASSAMESE,BENGALI,15311351.0,2025303.0,HINDI ,245880.0
ASSAMESE,BENGALI,15311351.0,2025303.0,KANNADA,2.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MALAYALAM,8.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MANIPURI ,34.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MARATHI ,36.0
ASSAMESE,BENGALI,15311351.0,2025303.0,NEPALI ,956.0
ASSAMESE,BENGALI,15311351.0,2025303.0,ODIA ,226.0
ASSAMESE,BENGALI,15311351.0,2025303.0,PUNJABI ,559.0
ASSAMESE,BENGALI,15311351.0,2025303.0,SANSKRIT ,41.0
ASSAMESE,BENGALI,15311351.0,2025303.0,SANTALI ,37.0
ASSAMESE,BENGALI,15311351.0,2025303.0,SINDHI,653.0
ASSAMESE,BENGALI,15311351.0,2025303.0,TAMIL ,9.0
ASSAMESE,BENGALI,15311351.0,2025303.0,TELUGU ,8.0
ASSAMESE,BENGALI,15311351.0,2025303.0,URDU,1946.0
ASSAMESE,BENGALI,15311351.0,2025303.0,ADI ,2.0
ASSAMESE,BENGALI,15311351.0,2025303.0,AFGHANI/KABULI/PASHTO ,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,AO ,162.0
ASSAMESE,BENGALI,15311351.0,2025303.0,ARABIC/ARBI ,1907.0
ASSAMESE,BENGALI,15311351.0,2025303.0,BHUMIJ ,2.0
ASSAMESE,BENGALI,15311351.0,2025303.0,DEORI ,3.0
ASSAMESE,BENGALI,15311351.0,2025303.0,DIMASA ,15.0
ASSAMESE,BENGALI,15311351.0,2025303.0,ENGLISH ,25047.0
ASSAMESE,BENGALI,15311351.0,2025303.0,GARO ,1036.0
ASSAMESE,BENGALI,15311351.0,2025303.0,HALAM ,2.0
ASSAMESE,BENGALI,15311351.0,2025303.0,KARBI/MIKIR ,86.0
ASSAMESE,BENGALI,15311351.0,2025303.0,KHASI ,24.0
ASSAMESE,BENGALI,15311351.0,2025303.0,KOCH ,18.0
ASSAMESE,BENGALI,15311351.0,2025303.0,KURUKH/ORAON ,11.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LADAKHI ,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LALUNG ,13.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LEPCHA ,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LIANGMEI ,2.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LIMBU ,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,LUSHAI/MIZO ,8.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MIRI/MISHING,27.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MISHMI ,4.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MUNDA,12.0
ASSAMESE,BENGALI,15311351.0,2025303.0,MUNDARI ,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,RABHA ,90.0
ASSAMESE,BENGALI,15311351.0,2025303.0,SHINA,1.0
ASSAMESE,BENGALI,15311351.0,2025303.0,TRIPURI ,5.0
ASSAMESE,BENGALI,15311351.0,2025303.0,TULU ,9.0
ASSAMESE,BENGALI,15311351.0,2025303.0,WANCHO,5.0
ASSAMESE,BODO,15311351.0,46019.0,BENGALI ,1400.0
ASSAMESE,BODO,15311351.0,46019.0,HINDI ,7133.0
ASSAMESE,BODO,15311351.0,46019.0,KANNADA,1.0
ASSAMESE,BODO,15311351.0,46019.0,MANIPURI ,10.0
ASSAMESE,BODO,15311351.0,46019.0,NEPALI ,298.0
ASSAMESE,BODO,15311351.0,46019.0,ODIA ,5.0
ASSAMESE,BODO,15311351.0,46019.0,PUNJABI ,1.0
ASSAMESE,BODO,15311351.0,46019.0,SANTALI ,9.0
ASSAMESE,BODO,15311351.0,46019.0,TAMIL ,1.0
ASSAMESE,BODO,15311351.0,46019.0,ARABIC/ARBI ,1.0
ASSAMESE,BODO,15311351.0,46019.0,DEORI ,3.0
ASSAMESE,BODO,15311351.0,46019.0,DIMASA ,3.0
ASSAMESE,BODO,15311351.0,46019.0,ENGLISH ,1181.0
ASSAMESE,BODO,15311351.0,46019.0,GARO ,207.0
ASSAMESE,BODO,15311351.0,46019.0,KARBI/MIKIR ,23.0
ASSAMESE,BODO,15311351.0,46019.0,KHASI ,6.0
ASSAMESE,BODO,15311351.0,46019.0,KOCH ,1.0
ASSAMESE,BODO,15311351.0,46019.0,LALUNG ,2.0
ASSAMESE,BODO,15311351.0,46019.0,MIRI/MISHING,22.0
ASSAMESE,BODO,15311351.0,46019.0,MUNDA,15.0
ASSAMESE,BODO,15311351.0,46019.0,MUNDARI ,2.0
ASSAMESE,BODO,15311351.0,46019.0,RABHA ,66.0
ASSAMESE,BODO,15311351.0,46019.0,SAVARA,1.0
ASSAMESE,BODO,15311351.0,46019.0,TANGSA,1.0
ASSAMESE,BODO,15311351.0,46019.0,ZELIANG ,2.0
ASSAMESE,GUJARATI,15311351.0,560.0,BENGALI ,4.0
ASSAMESE,GUJARATI,15311351.0,560.0,HINDI ,96.0
ASSAMESE,GUJARATI,15311351.0,560.0,MARATHI ,3.0
ASSAMESE,GUJARATI,15311351.0,560.0,NEPALI ,3.0
ASSAMESE,GUJARATI,15311351.0,560.0,SANTALI ,1.0
ASSAMESE,GUJARATI,15311351.0,560.0,URDU,1.0
ASSAMESE,GUJARATI,15311351.0,560.0,ARABIC/ARBI ,1.0
ASSAMESE,GUJARATI,15311351.0,560.0,ENGLISH ,27.0
ASSAMESE,HINDI,15311351.0,2557685.0,BENGALI ,159939.0
ASSAMESE,HINDI,15311351.0,2557685.0,BODO ,5094.0
