State,Occupation classification,Main/Marginal,Persons
JAMMU & KASHMIR,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",Main,129561
JAMMU & KASHMIR,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",Marginal,5661
JAMMU & KASHMIR,Legislators and Senior Officials,Main,91174
JAMMU & KASHMIR,Legislators and Senior Officials,Marginal,3208
JAMMU & KASHMIR,Corporate Managers,Main,38197
JAMMU & KASHMIR,Corporate Managers,Marginal,2449
JAMMU & KASHMIR,General Managers,Main,190
JAMMU & KASHMIR,General Managers,Marginal,4
JAMMU & KASHMIR,PROFESSIONALS,Main,65963
JAMMU & KASHMIR,PROFESSIONALS,Marginal,4589
JAMMU & KASHMIR,"Physical, Mathematical and Engineering Science Professionals",Main,16813
JAMMU & KASHMIR,"Physical, Mathematical and Engineering Science Professionals",Marginal,568
JAMMU & KASHMIR,Life Science and Health Professionals,Main,18144
JAMMU & KASHMIR,Life Science and Health Professionals,Marginal,848
JAMMU & KASHMIR,Teaching Professionals,Main,15360
JAMMU & KASHMIR,Teaching Professionals,Marginal,1966
JAMMU & KASHMIR,Other Professionals,Main,15646
JAMMU & KASHMIR,Other Professionals,Marginal,1207
JAMMU & KASHMIR,TECHNICIANS AND ASSOCIATE PROFESSIONALS,Main,207830
JAMMU & KASHMIR,TECHNICIANS AND ASSOCIATE PROFESSIONALS,Marginal,12803
JAMMU & KASHMIR,Physical and Engineering Science Associate Professionals,Main,8181
JAMMU & KASHMIR,Physical and Engineering Science Associate Professionals,Marginal,653
JAMMU & KASHMIR,Life Science and Health Associate Professionals,Main,33028
JAMMU & KASHMIR,Life Science and Health Associate Professionals,Marginal,1994
JAMMU & KASHMIR,Teaching Associate Professionals,Main,102313
JAMMU & KASHMIR,Teaching Associate Professionals,Marginal,4905
JAMMU & KASHMIR,Other Associate Professionals,Main,64308
JAMMU & KASHMIR,Other Associate Professionals,Marginal,5251
JAMMU & KASHMIR,CLERKS,Main,44174
JAMMU & KASHMIR,CLERKS,Marginal,1348
JAMMU & KASHMIR,Office Clerks,Main,40590
JAMMU & KASHMIR,Office Clerks,Marginal,1113
JAMMU & KASHMIR,Customer Services Clerks,Main,3584
JAMMU & KASHMIR,Customer Services Clerks,Marginal,235
JAMMU & KASHMIR,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,Main,368648
JAMMU & KASHMIR,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,Marginal,36941
JAMMU & KASHMIR,Personal and Protective Service Workers,Main,142345
JAMMU & KASHMIR,Personal and Protective Service Workers,Marginal,11114
JAMMU & KASHMIR,"Models, Sales Persons and Demonstrators",Main,226303
JAMMU & KASHMIR,"Models, Sales Persons and Demonstrators",Marginal,25827
JAMMU & KASHMIR,SKILLED AGRICULTURAL AND FISHERY WORKERS,Main,47143
JAMMU & KASHMIR,SKILLED AGRICULTURAL AND FISHERY WORKERS,Marginal,59825
JAMMU & KASHMIR,Market Oriented Skilled Agricultural and Fishery Workers,Main,47133
JAMMU & KASHMIR,Market Oriented Skilled Agricultural and Fishery Workers,Marginal,59817
JAMMU & KASHMIR,Subsistence Agricultural and Fishery Workers,Main,10
JAMMU & KASHMIR,Subsistence Agricultural and Fishery Workers,Marginal,8
JAMMU & KASHMIR,CRAFT AND RELATED TRADES WORKERS,Main,201536
JAMMU & KASHMIR,CRAFT AND RELATED TRADES WORKERS,Marginal,92564
JAMMU & KASHMIR,Extraction and Building Trades Workers,Main,68727
JAMMU & KASHMIR,Extraction and Building Trades Workers,Marginal,19461
JAMMU & KASHMIR,"Metal, Machinery and Related Trades Workers",Main,32378
JAMMU & KASHMIR,"Metal, Machinery and Related Trades Workers",Marginal,4348
JAMMU & KASHMIR,"Precision, Handicraft, Printing and Related Trades Workers",Main,7943
JAMMU & KASHMIR,"Precision, Handicraft, Printing and Related Trades Workers",Marginal,3772
JAMMU & KASHMIR,Other Craft and Related Trades Workers,Main,92488
