state,sum_n(n-1),N,N(-1),mtd_SDI
ANDAMAN & NICOBAR ISLANDS,24889467944,377666,142631229890,0.8254977681732447
ANDHRA PRADESH,5061526481371150,84561604,7150664786491212,0.29216001134143355
ARUNACHAL PRADESH,257854166860,1308121,1711179242520,0.8493120063329741
ASSAM,316944944861994,31009140,961566732530460,0.6703869485709834
BIHAR,6760680739988070,104052360,10826893517517240,0.3755659710655037
CHANDIGARH,657694452014,1054807,1112616752442,0.4088760118248488
CHHATTISGARH,459208065143276,25540845,652334737773180,0.29605455826124516
DADRA & NAGAR HAVELI,30623868870,343043,117678156806,0.7397659030257806
DAMAN & DIU,23263849366,241531,58336982430,0.6012161000285732
GOA,984501440292,1456672,2121891858912,0.5360265716855133
GUJARAT,2721139468424952,60373089,3644909815028832,0.25344120800875636
HARYANA,504191040170746,25347883,642515147233806,0.2152853635569233
HIMACHAL PRADESH,35154994542730,6850925,46935166504700,0.25098817878467217
JAMMU & KASHMIR,57853603625024,12524660,156867095590940,0.6311935055144516
JHARKHAND,445648660868586,32963676,1086603902469300,0.5898701818980656
KARNATAKA,1725628689417804,60708745,3685551658766280,0.5317855102333717
KERALA,1050902891161762,33396464,1115323774306832,0.057759804488259237
LAKSHADWEEP,2944711374,55162,3042791082,0.032233467680447214
MADHYA PRADESH,4154637269899722,72565995,5265823557774030,0.21101851888558698
MAHARASHTRA,6284540378839788,112240252,12597874056783252,0.5011427840512571
MANIPUR,2483438860140,2822297,7965357533912,0.688220039142384
MEGHALAYA,2852070034314,2836041,8043125717640,0.6454027781688274
MIZORAM,660717609188,1086287,1180018360082,0.4400785347593351
NAGALAND,220284668258,1737245,3018018452780,0.9270101652111874
NCT OF DELHI,204819774108938,16781841,281630170567440,0.2727349711990774
ODISHA,1209746654992056,41747039,1742815223520482,0.3058663714513745
PUDUCHERRY,1220103968816,1247537,1556347318832,0.21604647365495655
PUNJAB,627638143886242,27737814,769386297760782,0.1842353500277859
RAJASTHAN,3773218255525596,68505333,4692980580935556,0.19598681681026764
SIKKIM,153611084586,605244,366319694292,0.5806638655262858
TAMIL NADU,4086521392341816,72130835,5202857285666390,0.2145620823388762
TRIPURA,6745937257266,3668777,13459921006952,0.49881301281175805
UTTAR PRADESH,35453523977933064,199808533,39923449659803556,0.11196241106316474
UTTARAKHAND,81146292716546,10081731,101641289874630,0.2016404670126054
WEST BENGAL,6243989778092578,91210241,8319307972067840,0.2494580319592884
