state,sum_n(n-1),N,N(-1),religion_SDI
ANDAMAN & NICOBAR ISLANDS,77462776094.0,379348.0,143904525756.0,0.4617071583603739
ANDHRA PRADESH,5665260850628672.0,84167130.0,7084105688269770.0,0.2002856676729845
ARUNACHAL PRADESH,364091347734.0,1014526.0,1029261990150.0,0.6462597946700247
ASSAM,483313265091444.0,31127585.0,968926516804640.0,0.5011868736079889
BIHAR,7717835012355644.0,103833888.0,1.0781476193362656e+16,0.28415785798359094
CHANDIGARH,748744302936.0,1054190.0,1111315501910.0,0.3262540640806816
CHHATTISGARH,567901831490432.0,25027342.0,626367822557622.0,0.09334130675560282
DADRA & NAGAR HAVELI,104431276014.0,342929.0,117599956112.0,0.11197861405201881
DAMAN & DIU,48845493748.0,242923.0,59011341006.0,0.17226938220174293
GOA,1077890997512.0,1455248.0,2117745286256.0,0.4910195269906029
GUJARAT,2900512714107160.0,60365310.0,3643970591030790.0,0.20402411554955058
HARYANA,496284349856724.0,25306702.0,640429140810102.0,0.22507531554707838
HIMACHAL PRADESH,42712209792172.0,6855652.0,46999957489452.0,0.0912287569247755
JAMMU & KASHMIR,86192054636210.0,12519712.0,156743176043232.0,0.4501064938709868
JHARKHAND,525687862332992.0,28684005.0,822772114156020.0,0.361077200735917
KARNATAKA,2697292823581700.0,60917947.0,3710996205776862.0,0.2731620637652883
KERALA,450703227964142.0,33310288.0,1109575253332656.0,0.593805623719134
LAKSHADWEEP,3880537140.0,64402.0,4147553202.0,0.0643791770702885
MADHYA PRADESH,4380174277146832.0,71929590.0,5173865845638510.0,0.153403971454101
MAHARASHTRA,8260723055113414.0,111909078.0,1.2523641626901006e+16,0.3403896964466603
MANIPUR,2844547348712.0,2611058.0,6817621268306.0,0.5827654196727189
MEGHALAYA,5031614024624.0,2699040.0,7284814222560.0,0.3093009827152723
MIZORAM,924421891002.0,1095372.0,1199838723012.0,0.2295448769303018
NAGALAND,3058784996320.0,1972972.0,3892616539812.0,0.214208498310566
NCT OF DELHI,193056465202890.0,16772138.0,281304596318906.0,0.31371023534920106
ODISHA,1546698233181848.0,41418982.0,1715532028497342.0,0.0984148313822959
PUDUCHERRY,1198691786864.0,1245663.0,1551675063906.0,0.22748530620414975
PUNJAB,370585900004462.0,27644888.0,764239804887656.0,0.5150921247043152
RAJASTHAN,3719073353745244.0,68476048.0,4688969081222256.0,0.20684626208373136
SIKKIM,156094942644.0,592449.0,350995225152.0,0.5552790139056667
TAMIL NADU,4030162951238218.0,71951030.0,5176950646109870.0,0.22151798872824602
TRIPURA,9528666008680.0,3667142.0,13447926781022.0,0.2914397762689297
UTTAR PRADESH,2.6862166425105904e+16,199216121.0,3.968706266707052e+16,0.32315055285272587
UTTARAKHAND,72070806119956.0,10073691.0,101479240289790.0,0.2897975397318069
WEST BENGAL,4753880300452928.0,90105551.0,8119010230908050.0,0.41447538982578147
