state,occupation_p_ln_p,religion_p_ln_p,mtd_p_ln_p,migration_p_ln_p,cultural_diversity
ANDAMAN & NICOBAR ISLANDS,3.184329387081371,0.8179287962370281,1.9812715247656825,2.2387375802581517,2.0555668220855585
ANDHRA PRADESH,3.151893891863251,0.3992056311696528,0.7002058762517003,2.308698263860767,1.6400009157863429
ARUNACHAL PRADESH,3.024819818434368,1.1463425778933345,2.387618176090857,1.6398246280653472,2.0496513001209764
ASSAM,2.958778190945286,0.8103713103971181,1.570991238225134,2.5073513425509626,1.961873020529625
BIHAR,2.8077248423211376,0.4698471457181154,0.7473256566500485,1.9018949839215684,1.4816981571527175
CHANDIGARH,3.206442722693527,0.6443919685071717,0.8004576144998709,2.140652354646609,1.6979861650867947
CHHATTISGARH,3.1596960667599965,0.251805089243625,0.7921688275924322,2.344376480015707,1.6370116159029402
DADRA & NAGAR HAVELI,2.8959561432258867,0.2789261281876657,1.6198881953272004,2.172741910914232,1.7418780944137462
DAMAN & DIU,2.8013951256467107,0.3613771791253655,1.221126835867146,2.181664532856295,1.6413909183738793
GOA,3.204380578341806,0.8452863185950034,1.273432389063486,1.9802744328704915,1.8258434297176969
GUJARAT,3.1460267495076413,0.4152717789094219,0.6353563130559392,2.1785322139675207,1.593796763860131
HARYANA,3.14046080124102,0.4783871607315677,0.4679419841421095,2.1850113903904043,1.5679503341262753
HIMACHAL PRADESH,3.135356524135053,0.2464790783591939,0.605786958413367,2.424645802416032,1.6030670908309115
JAMMU & KASHMIR,2.9429091931291738,0.7526344675336291,1.2886486669681416,2.7179984603391243,1.9255476969925172
JHARKHAND,3.0098946805852163,0.6628203988154346,1.417910110996358,1.304541416371729,1.5987916516921845
KARNATAKA,3.222698574700177,0.5332209119890889,1.2895757519414464,2.209954384698754,1.8138624058323665
KERALA,3.2072882626726544,0.9968834796167766,0.184910926447087,2.323722772986909,1.678201360430857
LAKSHADWEEP,3.2266369229590475,0.1622020517457365,0.1140725066921805,1.2386154021291866,1.1853817208815378
MADHYA PRADESH,3.080997769468304,0.3447537294932046,0.5572672492627486,1.9721936134041005,1.4888030904070895
MAHARASHTRA,3.225241136753272,0.7048923298322658,1.2353009151447842,2.39426213746507,1.889924129798848
MANIPUR,2.986526017875971,0.9622509688202108,1.9407568644166284,2.49319881854135,2.09568316741354
MEGHALAYA,3.037861350026194,0.6010830519518515,1.4052284119655356,1.9297820260004528,1.7434887099860086
MIZORAM,3.1797955796237263,0.4904544499061272,1.1004133918884451,2.055999857750952,1.7066658197923126
NAGALAND,3.1093831034760626,0.4511674981373672,2.9538653847021887,2.0087964837781773,2.130803117523449
NCT OF DELHI,3.188030970689924,0.6381191014155636,0.7016044497865912,2.019584955877954,1.6368348694425081
ODISHA,3.071484964135437,0.2426451589967792,0.8923709658330513,2.3263687419452475,1.6332174577276288
PUDUCHERRY,3.2758278977597897,0.4739738615491279,0.5171130727468486,0.9304470326304548,1.2993404661715553
PUNJAB,3.0558558631776576,0.8338915221648371,0.3794681376582213,2.3668213581198176,1.6590092202801332
RAJASTHAN,3.0889644795038724,0.4342934735623962,0.4774580634481193,2.2771323124891443,1.5694620822508831
SIKKIM,3.10703403337992,0.989231090408554,1.461953793418437,1.9290092489726167,1.8718070415448818
TAMIL NADU,3.188049053332593,0.4633687254111266,0.5357653181454312,2.3940600771318543,1.6453107935052513
TRIPURA,3.0139826376956917,0.6177568207939272,1.044174693795738,1.1656024506128044,1.4603791507245403
UTTAR PRADESH,2.904669817720786,0.5406445361175691,0.2509975126870696,2.438406943083529,1.5336797024022386
UTTARAKHAND,3.1231074521105198,0.5539894115023332,0.5382915195087342,1.5404539429449704,1.4389605815166393
WEST BENGAL,2.9702689615641638,0.6588178507055833,0.6118802522653195,1.75764225355553,1.499652329522649
