state,occupation_p_ln_p
ANDAMAN & NICOBAR ISLANDS,3.184329387081371
ANDHRA PRADESH,3.151893891863251
ARUNACHAL PRADESH,3.0248198184343678
ASSAM,2.958778190945286
BIHAR,2.8077248423211376
CHANDIGARH,3.206442722693527
CHHATTISGARH,3.1596960667599965
DADRA & NAGAR HAVELI,2.8959561432258867
DAMAN & DIU,2.8013951256467107
GOA,3.204380578341806
GUJARAT,3.1460267495076413
HARYANA,3.1404608012410193
HIMACHAL PRADESH,3.135356524135053
JAMMU & KASHMIR,2.9429091931291738
JHARKHAND,3.0098946805852163
KARNATAKA,3.222698574700177
KERALA,3.2072882626726544
LAKSHADWEEP,3.2266369229590475
MADHYA PRADESH,3.080997769468304
MAHARASHTRA,3.225241136753272
MANIPUR,2.986526017875971
MEGHALAYA,3.037861350026194
MIZORAM,3.1797955796237263
NAGALAND,3.1093831034760626
NCT OF DELHI,3.188030970689924
ODISHA,3.071484964135437
PUDUCHERRY,3.2758278977597897
PUNJAB,3.0558558631776576
RAJASTHAN,3.0889644795038724
SIKKIM,3.10703403337992
TAMIL NADU,3.188049053332593
TRIPURA,3.0139826376956913
UTTAR PRADESH,2.904669817720786
UTTARAKHAND,3.1231074521105193
WEST BENGAL,2.9702689615641633
